main 2011-11-21 10:45:38,298 INFO App started IN net.sf.xfresh.util.Starter
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,086 DEBUG name: Belarusian State University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,086 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,086 DEBUG city: South Korea IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,087 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,087 DEBUG id: 11 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,087 DEBUG name: Korea Advanced Institute of Science and Technology IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,087 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,088 DEBUG city: Hong Kong IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,088 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,089 DEBUG id: 12 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,089 DEBUG name: The Chinese University of Hong Kong IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,090 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,090 DEBUG city: China IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,090 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,090 DEBUG id: 13 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,090 DEBUG name: Zhejiang University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,091 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,091 DEBUG city: South Korea IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,091 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,091 DEBUG id: 14 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,091 DEBUG name: Seoul National University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,092 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,092 DEBUG city: China IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,092 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,092 DEBUG id: 15 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,093 DEBUG name: Fudan University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,093 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,094 DEBUG city: Russian Federation IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,094 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,095 DEBUG id: 16 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,096 DEBUG name: Moscow Institute of Physics and Technology IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,098 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,098 DEBUG city: Poland IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,098 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,099 DEBUG id: 17 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,099 DEBUG name: Jagiellonian University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,099 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,099 DEBUG city: Singapore IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,099 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,100 DEBUG id: 18 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,100 DEBUG name: Nanyang Technological University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,100 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,100 DEBUG city: United States IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,100 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
